eventID,parentEventID,samplingProtocol,year,month,day,eventDate,habitat,eventRemarks,locationID,country,countryCode,stateProvince,county,locality,decimalLongitude,decimalLatitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol
LiloanMPA:S08:2015-03:phytoplankton,LiloanMPA:S08:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S08,Philippines,PH,Cebu,Liloan,Kadurong,124.010417,10.394917,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S09:2015-03:phytoplankton,LiloanMPA:S09:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S09,Philippines,PH,Cebu,Liloan,Kadurong,124.009194,10.395444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S10:2015-03:phytoplankton,LiloanMPA:S10:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S10,Philippines,PH,Cebu,Liloan,Kadurong,124.007792,10.395457,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S11:2016-03:phytoplankton,LiloanMPA:S11:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S11,Philippines,PH,Cebu,Liloan,Poblacion,124.005466,10.400443,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S12:2016-03:phytoplankton,LiloanMPA:S12:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S12,Philippines,PH,Cebu,Liloan,Poblacion,124.006214,10.403847,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S13:2016-03:phytoplankton,LiloanMPA:S13:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S13,Philippines,PH,Cebu,Liloan,Poblacion,124.007222,10.400833,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S14:2016-03:phytoplankton,LiloanMPA:S14:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S14,Philippines,PH,Cebu,Liloan,Poblacion,124.008333,10.401667,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S15:2016-03:phytoplankton,LiloanMPA:S15:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S15,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005833,10.398056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S16:2016-03:phytoplankton,LiloanMPA:S16:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S16,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005278,10.396944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S17:2016-03:phytoplankton,LiloanMPA:S17:2016-03,Water sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S17,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.391944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
